,teks,label,clean_teks
33,"Suka heran sama warga +62 sukanya ngehujat orang mulu, dapat pahala kagak dosa mah iya",no,suka heran warga suka ngehujat orang pahala dosa mah iya
34,Tambah cantik aja rosa meldianti,no,cantik rosa meldianti
35,Saya kok suka ya sama mereka harmonis,no,suka ya harmonis
36,Cantik banget kalau pakai baju kayak gitu,no,cantik pakai baju
37,Jujur ya kamu kalo anteng ga buat masalah cantik mel,no,jujur ya anteng cantik mel
38,"Dari sekian banyak foto yang diposting, ini yang paling cantik",no,sekian foto diposting cantik
39,Masyaallah cantik terlihat sopan dan anggun,no,masyaallah cantik sopan anggun
40,Seneng liat pasangan ini cewenya di hujat 1 indonesia tapi dia tetep setia nemenin,no,senang lihat pasang cewenya hujat indonesia setia tani
41,"makin cantik mel, semangat dietnyaa",no,cantik mel semangat dietnyaa
42,Mel disini kamu keliatan cakep,no,mel cakap
43,"salfok sama kaki, tapi cantik banget asli",no,salfok kaki cantik asli
44,heran sama netizen klo gk suka jangan diliat aja,no,heran netizen suka
45,sukses selalu yah ka @rosameldianti_ semangat,no,sukses yah ka rosameldianti semangat
46,Jujur aku lebih suka meldi yang sekarang daripada yang dulu suka ngehujat orang,no,jujur suka meldi suka ngehujat orang
47,Berkarya teros meldi walo ga ada yg nuntun kamu.,no,karya meldi walo nuntun
48,"Dan yang paling saya heran cowokpun ikut ngebully, sabar meldi.",no,heran cowok ngebully sabar meldi
49,Unfoll aja daripada kalian dosa ngebully2 terus..,no,unfoll dosa ngebully
50,Meldi aku perhatikan kamu seperti orang china deh.. cantik,no,meldi perhati orang china deh cantik
51,Maju trus ya sayang.. abaikan orang2 yg comment menyakitkan,no,maju ya sayang abai orang komen sakit
52,"Semangat mel, bahasa asing mah yang penting kita berani pasti entarnya bisa",no,semangat mel bahasa asing mah berani entar
53,"Meldi meskipun kadang mulut ku tak bisa di rem karena kehaluanmu, tapi aku bangga akan berusaha mu, yuhuuu",no,meldi kadang mulut rem haluan bangga usaha mu yuhuuu
54,"Semangatt, kesalahan dalam belajar bahasa asing itu penting. Karena itu pembelajaran utamanya, supaya kesalahannya ga terulang",no,semangatt salah ajar bahasa asing ajar utama salah ulang
55,Kereennnn.. dari bully.an netizen menjadikanmu mau belajar,no,kereennnn bullyan netizen jadi ajar
56,Semangat untuk belajar ya… saya uga gak bisa bahasa inggris,no,semangat ajar ya bahasa inggris
57,Yang penting ada niat.. dan keberanian,no,niat berani
58,"Salut Mel.. semangat belajar, yg ngetawain juga belum tentu bisa Dan berani..",no,salut mel semangat ajar ngetawain berani
59,Gpp Mel semangat buat belajar trusssss jangan gampang nyerah pokoknya @rosameldianti_,no,tidak-apa-apa mel semangat ajar trusssss gampang nyerah pokok rosameldianti
60,Setidaknya dia ngaku. bukan belagak pintar,no,ngaku bagak pintar
61,Cuma di postingan ini ya bund netizen sedikit yang menghujat,no,postingan ya bund netizen hujat
62,"Happy birthday Mel sehat dan Sukses yah, Aamiin",no,senang ulang mel sehat sukses yah aamiin
63,Happy Birthday kak Meldi yang imut n ngegemesin. Tambah sukses selalu,no,senang ulang kak meldi imut n ngegemesin sukses
64,"Selamat ulang tahun mel, udah yah jangan banyak tingkah",no,selamat ulang mel yah tingkah
65,Selamat ulang tahun meldi sukses dan sehat terus ya….,no,selamat ulang meldi sukses sehat ya
66,"Fotonya lainnya jangan yang ini, kan masih banyak yang lebih cantik ihhh biar gak kena hujat kamu ihh, aku mah kasihan",no,foto cantik ihhh biar kena hujat ihh mah kasihan
67,HBD meldi… Semoga sukses selalu dan panjang umur dan rejekinya di lancarkan.. Amin,no,selamat ulang meldi moga sukses umur rejekinya lancar amin
68,"Selamat Ulang Tahun kak @rosameldianti_, banyaknya sadar dan jangan pansos lagi yah. Amin",no,selamat ulang kak rosameldianti banyak sadar pansos yah amin
69,Hbd cantik semoga kedepannya tambah sukses,no,selamat ulang cantik moga depan sukses
70,Hbd mbak mel tambah cantik di panjangkan umurnya dan sehat selalu,no,selamat ulang mbak mel cantik panjang umur sehat
71,berdiri di kaki sendiri lebih baik,no,diri kaki
72,Tapi dia sekarang dah berubah gak kayak dulu kalau yang gue lihat,no,ubah lihat
73,Miris banget… ultah bukan didoain yang baik2 tapi tetap di bully kasian !! God bless u mel,no,miris ulang didoain bully kasihan god bless mel
74,"Heran gua mah kalau gasuka gausah di follow dah tau ni akun private kalo lu tetap follow dan ngebuli tanda nya lu sirik. Gasuka ya gausah diliat, kaya dirinya sempurna aja",no,heran mah suka follow ni akun private follow ngebuli tanda nya sirik suka ya kaya sempurna
75,"Semangat gaga, jangan liat kebelakang fokus aja kedepan, masih muda masih banyak yg lebih baik juga.",no,semangat gaga lihat belakang fokus depan muda
76,"meldi makin bersinar yaaa, pertahanin karir jgn di sia siain",no,meldi sinar yaaa pertahanin karir sia siain
77,Tetap semangat…. sebaik apapun kamu akan dalah Dimata pembenci…..,no,semangat apa dalah mata benci
78,Baik buruk nya kamu akan tetap terlihat buruk di mata mereka yang ga menyukai mu..,no,buruk nya buruk mata suka mu
79,Di maafin aaa… semoga dia jera untuk kedepannya…,no,maafin aaa moga jera depan
80,Btw yang video tapi boong itu dia buat nya tahun lalu bukan pas masalah yang sekarang kalau gak percaya lihat tribun news jadi jangan hujat dia lagi ya,no,ngomong ngomong video bohong nya pas percaya lihat tribun berita hujat ya
81,"Okay bro kalem aja, tetap semangat dan jangan putus asa",no,okay kalem semangat putus asa
82,Pada ribet kayak udah pada benar aja lu semua,no,ribet
83,Jangan ada hitam diatas putih. Langsung proses,no,hitam atas putih langsung proses
84,Kalau sayang sama anaknya ya di serahkan aja ke polisi biar di didik sekalian,no,sayang anak ya serah polisi biar didik
85,Bangkit ya bang jangan lemah buat pelajaran dan ujian buat lu jadi yang lebih baik lagi bang,no,bangkit ya bang lemah ajar uji bang
86,Jangan patah semngat kak sukses terus,no,patah semangat kak sukses
87,"Semangat Ferdian gausah dengerin orang yang hujat kamu, karena semua manusia tidak luput dari kesalahan",no,semangat ferdian dengerin orang hujat manusia luput salah
88,Sumpah sekarang aku respect banget sama kamu,no,sumpah hormat
89,"Menurutku pribadi, dia tulus minta maafnya….",no,turut pribadi tulus maaf
90,"Ilang respect gue.. padahal jane udh setia bgt sama lu, tapi lu nya main cewe pas udh keluar dri penjara.. lol",no,hilang hormat jane setia banget nya main cewek pas penjara tertawa
91,Hapus ajh ni poto ngk tau malu bgt lu bang,no,hapus ni foto malu banget bang
92,"kasian banget Jane udah nunggu keluar penjara eh taunya :), waw sakit siih",no,kasihan jane nunggu penjara eh tahu waw sakit siih
93,Ini buat konten.. masa putus foto tabi sama jessica engga dihapus ?,no,konten putus foto tabi jessica hapus
94,Tiap mau makan dibikin ama jess tpi malah ngehianatin gila sih,no,makan bikin jess ngehianatin gila sih
95,Parah lu bang nama lu udh rusak karna narkoba malah nambah masalah ajh truss,no,parah bang nama rusak narkoba tambah truss
96,"Santuy aja bang ga usah di tanggepin,btw gw suka gaya lo",no,santuy bang tanggepinbtw suka gaya
97,"cewe cakep, setia kok disia sia in sahabat",no,cewek cakap setia sia sia in sahabat
98,Bikin skandal karena kepengen tenar?,no,bikin skandal tenar
99,HEH UDH NAPA HATE NYA CAPE GW BACA NYA,no,heh hate nya capek baca nya
100,Kak jessica yg nungguin+setia sm kk loh pas ad masalah kmrn. Tapi kk ga ngehargain malah lbh milih yg d sono,no,kak jessica nungguinsetia kartu keluarga loh pas kemarin kartu keluarga ngehargain pilih sono
101,HARGAILAH HATI WANITA YANG UDH TULUS NEMENIN LO DARI 0!!!,no,harga hati wanita tulus tani
102,Tapi bagus sih erick mutusin Jessica ya karna Erick kelakuan ny begituu coba liat Jessica,no,bagus sih erick mutusin jessica ya erick laku nya begituu coba lihat jessica
103,Sdh lh nasi udah jdi bubur ga bisa lagi dibentuk kek semulaaa,no,lh nasi bubur bentuk semulaaa
104,"Kukira kehadiranmu akan menjadi sesuatu kebanggaan, ternyata tidak",no,kira hadir bangga
105,Erik kenapa sih? Ada yang bisa jelasin gw ga update soalnya.. maap2,no,erik sih jelasin update maaf
106,guys dr pd comment2 mending unfoll sm unsubscribe aja yaa,no,guys komen mending unfoll unsubscribe yaa
107,Postingan pertama jg dihujat dong gila netijen,no,postingan hujat gila netijen
108,"Padahal gw g mau benci ama lu bro, tpi ada aja tingkah lu yang melenceng:(",no,benci tingkah lenceng
109,Njir meskipun udh lama nih poto di post tapi masih banyak yg komen baru2,no,njir nih foto post komen
110,kesini cmn mo liat komen aja,no,kesini lihat komen
111,Buset hate comment ampe postingan paling bawah,no,buset hate komen postingan
112,Foto di upload nya 20 maret yang comment 1 jam 2 jam 3 jam yg lalu,no,foto upload nya maret komen jam jam jam
113,astaga masih pagi dibikin ngakak ama komenan netijen yg ngmng suka bener,no,astaga pagi bikin tertawa komenan netijen ngomong suka
114,Dah lah. Gw capek baca komen kalian,no,capai baca komen
115,Astaga ngehujat sampe postingan paling bawah,no,astaga ngehujat postingan
116,Ngapain si pada ngejudge? Mikir dulu lah dia putus juga sebelum kejadian itu tolol,no,ngapain si ngejudge berfikir putus jadi tolol
117,Hargai wanitamu dia didekati banyak pria tetapi tetap memilihmu,no,harga wanita dekat pria pilih
118,Udaah woii udahh lu gak kasihan apa…. Aku capek ngelike komenan kalian,no,udaah woii udahh kasihan capai ngelike komenan
119,Maafin Aja Bro Semua Orang Pasti Ada Kesalahan Dia Juga Pasti Ada Kesalahan Nasehatin Aja Siapa Tau Dia Berubah,no,maafin orang salah salah nasehatin ubah
120,Gua kira keluar dari PENJARA bisa berubah,no,penjara ubah
121,Cintamu hanya sebatas kertas wkwkw enteng bang,no,cinta batas kertas wkwkw ringan bang
122,Padahal sejak dia sama Jane aku lebih respect :( skrg bener2 udah hilang respect :(,no,jane hormat hilang hormat
123,"Dihujat habis""an semua postingan lama ada komen baru wkwk",no,hujat habis postingan komen wkwk
124,Lu mirip anaknya kick andy yg namanya marlo bang,no,anak kick andy nama marlo bang
125,Kenapa ada orang baik ? Karna ada orang jahat,no,orang orang jahat
126,Ngga ada niatan ngadain pengajian gitu bang?,no,niat ada aji bang
127,Suka banget sama rambutnyaa tambah ganteng,no,suka rambutnyaa ganteng
128,Banyak yg kecewa karena lu begini rik!!!!,no,kecewa rik
129,"Foto jelek dihujat, foto ganteng dibilang sok ganteng",no,foto jelek hujat foto ganteng bilang sok ganteng
130,Bully an di ig lebih ngeri daripada di fb ajg gua jadi ngerii! Ajgg,no,bully an ig ngeri facebook ajg ngeri ajgg
131,G bole melet dosaa rik,no,melet dosaa rik
132,Sumpah sih jahat banget. Bener2 kasian sama kak jessica,no,sumpah sih jahat kasihan kak jessica
133,Gw kesini pengen liat babang ini.. Sumpah feeling gw bener.. Mirip banget ama Reynhard Sinaga,no,kesini lihat babang sumpah feeling reynhard sinaga
134,"Awalnya ngira baju endorse dari KFC, mirip '-'",no,baju endorse kfc
135,"GUA MAU LO TERUS BERKARYA , PERBAIKI, TINGGALKAN YG NEGATIF , TIDAK ADA KATA TERLAMBAT , TTP JADI ORANG YG HEBAT DAN SELALU BAHAGIA @xrickolim",no,karya baik tinggal negatif lambat orang hebat bahagia xrickolim
136,Mending lu pada tobat dah,no,mending tobat
137,Kayak Randy Pangalila klo gk pake kacamata,no,randy pangalila pakai kacamata
138,Entah knp liat muka BG Eric sekarang kaya enak gitu .. dari pada yg dulu,no,lihat muka eric kaya enak
139,Saya segenap hati minta maap,no,segenap hati maaf
140,Harus lebih maju berkelas rik!! Ga jamannya lg toxic dan ga beraturan.. build sistem!! You will be BIG,no,maju kelas rik jaman toxic atur build sistem will be big
141,editan sama konsepnya nice banget lahhh,no,edit konsep nice lahhh
142,kok kalian komennya pada kek gini ya,no,komennya ya
143,Kalian kaloga cocok mau di paksain?,no,kaloga cocok paksain
144,ya biarin @xrickolim kita gatau gimana aslinya masa kalian semua ambil keputusan sepihak?kalo udah takdir gaada yang bisa nentang njir,no,ya biarin xrickolim tau asli ambil putus sepihakkalo takdir nentang njir
145,Jangan cuman bisa ngehina Dong Sadar Kalian Itu Ga sempurna sama kaya kami,no,hina sadar sempurna kaya
146,siapapun tolong kasih tau aku ini masalah nya apaa gais,no,tolong kasih nya apaa gais
147,Padahal cantikan jessica kemana mana,no,cantik jessica
148,"hanya bisa melihat hujatan klean kasian si listy kontrak nya d copot , di hujat memang dunia sgt kejam",no,hujat klean kasihan si listy kontrak nya lepas hujat dunia kejam
149,Disini pada kenapa dah? Aku gapaham tolong,no,paham tolong
150,Emang kalian se suci apa sampai nghina dia segitu nya,no,suci nghina segitu nya
151,Mending yang follow pada unfollow Udeh gausah ribet,no,mending follow unfollow ribet
152,@xrickolim smngat trus bro tiada manusia yg sempurna kmu pasti bisa bangkit n jadi lebih baik GBU keepstrong,no,xrickolim smngat tiada manusia sempurna bangkit n gbu keepstrong
153,Bro buat lu pada yg ngehujat erick tpi masih punya masala sendiri jangan sok keras,no,ngehujat erick sok keras
154,Semangat Rick untuk usaha barunya,no,semangat rick usaha baru
155,"banyak banget omongan kasar disini, tobat lah kawan kawan.. cukup comment kasar nya",no,omong kasar tobat kawan kawan komen kasar nya
156,"Semangat bang, walaupun banyak orang yang ngejudge lu. Jangan peduliin mereka",no,semangat bang orang ngejudge peduliin
157,Tuhan yesus baik semangat rick,no,tuhan yesus semangat rick
158,"Jangan di bales komen hate bang bikin sakit jempol, mending lanjut berkarya:)",no,balas komen hate bang bikin sakit jempol mending karya
159,"Wah ngehina fisik ni orang,ga bener ya wkwkwkwk",no,hina fisik ni orangga ya wkwkwkwk
160,Sabar semua komentar ini ujian,no,sabar komentar uji
161,Santai rick yg ngehujat lo belom tau perjalanan hidup lo aja! Mereka hanya sok suci!,no,santai rick ngehujat jalan hidup sok suci
162,"Yang sabar yah,tetep semangat ngejar karirnya jangan dengerin kata orang mereka Cuma bisa ngebacot di komen doank",no,sabar yahtetep semangat kejar karirnya dengerin orang ngebacot komen
163,Trs berkarya walaupun brd di titik sprti ini,no,karya brd titik
164,Stop lah ngatain orang lain lu pada itu yg ngatain orang lain ngaca dlu sebelum ngatain kayak suci aja hidup lu pada,no,stop orang orang kaca suci hidup
165,Yang ngatain keknya idupnya gapernag bikin kesalahan,no,kayak idupnya gapernag bikin salah
166,"erick yang kek gini yang gua kangenin, keep it up bruuh",no,erick kangenin keep up bruuh
167,Banyak komen yg support malah ketutup yg hate bgst emang IG,no,komen support tutup hate bgst ig
168,"Maudy cantik na natural bnr2 cantik bgt, cantik luar dlm",no,maudy cantik na natural cantik banget cantik
169,Bikin konten YouTube Student life at standford @maudyayunda seperti waktu S1 at Oxford. Fansmu pada nungguin nih.,no,bikin konten youtube student life at standford maudyayunda s at oxford fansmu tunggu nih
170,Aura org pinter emg shining ya bun @hy_dindut,no,aura orang pintar emang shining ya bun hy dindut
171,Paket lengkap deh.. udh cantik pintar lagi,no,paket lengkap deh cantik pintar
172,Sukaa bnget sm artis ini… nggak neko2.. dan natural bngett,no,sukaa artis neko natural bngett
173,"Cantik, pintar bertalenta, ortu mana yg gak kepengen punya anak kyk mba maudy",no,cantik pintar talenta orangtua anak mbak maudy
174,"Uda pinter, cantik gak kebanyakan tingkah. Perfect",no,pintar cantik banyak tingkah perfect
175,"Hati-hati mody jangan keluar sendirian jaga-jaga serangan brutal rasisme, wajahmu sekilas mirip onnie2 korea. Tetap waspada",no,hatihati mody jagajaga serang brutal rasisme wajah kilas onnie korea waspada
176,Bikin konten Youtube daily activity di Stanford dong kak @maudyayunda,no,bikin konten youtube daily aktivitas stanford kak maudyayunda
177,Motivasi ku ka Maudy cantipp bngt,no,motivasi ka maudy cantipp
178,"Semoga kecerdasan Mbak Maudy bermanfaat bagi agama, nusa, dan bangsa.. Aamiin",no,moga cerdas mbak maudy manfaat agama nusa bangsa aamiin
179,Damage nya cewek pinter gada lawann,no,damage nya cewek pintar lawann
180,masih good vibes walaupun sedang lapar,no,good vibes lapar
181,kakak cantik bgt bismillah cerdasnya nular,no,kakak cantik banget bismillah cerdas nular
182,Dua2 nya cantik banget masya Allah,no,nya cantik masyaallah allah
183,ka nisa mirip ariana grande masa,no,ka nisa ariana grande
184,"Adiknya Kak Maudy, cantik, pinter, aura positifnya keluar, ramah, lemah lembut, rajin, sholeha",no,adik kak maudy cantik pintar aura positif ramah lemah lembut rajin sholeha
185,Sekilas yg abu mirip ariana grande haha,no,kilas abu ariana grande haha
186,Yang satu nya mirip Ariana grande,no,nya ariana grande
187,Kakak sama adek sama sama cantik ya aku suka sama dua duanya,no,kakak adik cantik ya suka dua
188,Rambutnya kak modd bagussss… Item berkilauu,no,rambut kak modd bagussss hitam berkilauu
189,Cantik semua congrats kak msuk nominsi tc candler,no,cantik ucap selamat kak masuk nominsi tc candler
190,Maudy enak bet dah cantik iya pinter iya,no,maudy enak banget cantik iya pintar iya
191,"kukira dedeknya berdiri itu mau mukul bang jer pake ukulele… ternyata aku salah salah :""",no,kira dedek diri mukul bang jer pakai ukulele salah salah
192,Bang jerome KLO nyanyiny kek gini bagus suaranya ganyangkaaa,no,bang jerome nyanyiny bagus suara ganyangkaaa
193,Sutan kamu sangat lucu dan menggemaskan,no,sutan lucu gemas
194,Bang sering-sering dong buat vidio bareng sutan dia kayanya juga seneng ama bang jerom,no,bang seringsering video bareng sutan kayak senang bang jerom
195,"Klu @jeromepoline buat video tapi berdua aja seharian sama anak kecil, hahah lucu juga gimana riwehnya",no,jeromepoline video dua hari anak hahah lucu riwehnya
196,Kak jerome kayak boneka tau hahah,no,kak jerome boneka hahah
197,Mukbang makanan sehat dong kak. Salad jepang gituuu.,no,mukbang makan sehat kak salad jepang gituuu
198,Yakinin dulu niatnya bg… Semoga sukses,no,yakinin niat moga sukses
199,"Bang, aku nonton kamu setelah aku kerja di Jepang. Bermanfaat bgt kontennya jd gampang kalo mau nyari apa apa di Jepang",no,bang nonton kerja jepang manfaat banget konten gampang cari jepang
200,Cuman rumus diet ini yg ga bisa dipecahka ya bang?,no,rumus diet dipecahka ya bang
201,Perut makin maju tpi semangat jangan tak maju,no,perut maju semangat maju
202,Pantesan kak Jessica bilang bang jerom beruang wkwkwk,no,kak jessica bilang bang jerom beruang wkwkwk
203,Aduhh susah klo urusan sma Jerome rumus matematika terus bahasannya… Apakah daya diriku yg lebih suka bhs Inggris drpd matematika,no,aduhh susah urus sma jerome rumus matematika bahas daya diri suka bahasa inggris matematika
204,Kaya tulus ya mukanya klo diliat2,no,kaya tulus ya muka
205,"Kak Jerome, bagi trik biar bisa paham dan ingat cepat rumus matematika, dung:)",no,kak jerome trik biar paham cepat rumus matematika dung
206,Baru x ini baca caption harus mikir dan pakai kalkulator cuyyy hahaha,no,x baca caption berfikir pakai kalkulator cuyyy hahaha
207,"Sumpah si kak, kemeja jeans bikin keliatan seger bgt mantap mantap",no,sumpah si kak kemeja jeans bikin seger banget mantap mantap
208,Mirip ama aktor korea yg main di film reply 1988 yg jadi kaka nya jung hwan wkwk,no,aktor korea main film reply kaka nya jung hwan wkwk
209,iya bang jer terlihat berbeda klo pake style kayak gini lebih terlihat fresh anak gaul,no,iya bang jer beda pakai style fresh anak gaul
210,Klo style ke gini pas gitu bang sma umur lu yg msh muda keliatan lbh fresh aja sesuai sma umur,no,style pas bang sma umur muda fresh sesuai sma umur
211,Kok makin dewasa makin imutt aih cipaaaaaa,no,dewasa imutt aih cipaaaaaa
212,maniss bangettt pengen dah punya senyuman manis kayak ka syifaaa,no,maniss bangettt senyum manis ka syifaaa
213,Nih orang manis bnget sihh ga ngerti lagi,no,nih orang manis sihh ngerti
214,"Kakak pinter nyanyi ya @syifahadjureal, suaranya bagus kak",no,kakak pintar nyanyi ya syifahadjureal suara bagus kak
215,Gk salah kalo kak syifa cantik mamahnya aja cantik bgtt!! Jujurr,no,salah kak syifa cantik mamah cantik bgtt jujurr
216,Lelaki yg mendapatkan km. Adalah lelaki yg beruntung.,no,lelaki lelaki untung
217,Kamu mirip bgt ayahmu kalo adikmu mirip bgt mamamu,no,banget ayah adik banget mama
218,"Kakak udah cantik sii, tapi cantikan lagi kalo pake hijab",no,kakak cantik sii cantik pakai hijab
219,Gemeshh rasanya kaya aku pengen cubit,no,gemeshh kaya cubit
220,"@angelkmgi ini paling cute sih, ganteng parah msh kecil jg",no,angelkmgi cute sih ganteng parah
221,Sering blg ke org2 artis cewek yg menurutku paling cantik syifa sama ziu,no,bilang orang artis cewek turut cantik syifa ziu
222,"Ka cipa tu uda cantik, baik, manis bgt pula, manisnya tu nglebihin gula",no,ka cipa cantik manis banget manis nglebihin gula
223,Dilihat sekilas pun tampak jelas kalau cantikkan syifa,no,kilas cantik syifa
224,Setuju g sih? Si dia tetep cntik bgt meski g pke make up… lah aku g pke make up pucet bgt kyk g makan setahunn,no,tuju sih si cantik banget pakai pakai up pakai pakai up pucet banget makan setahunn
225,dahlahh emang cantik luar dalam kmu ini cippp,no,dahlahh cantik cippp
226,"Muka cantik tanpa make up hini, bahagia bgt kali ya yg jadi suaminya, bisa liat bidadari setiap harinya.",no,muka cantik pakai up hini bahagia banget kali ya suami lihat bidadari hari
227,Suka bgtt sm kak cipaa.. orangnya humble sm semua orang dan banyak temannya juga,no,suka bgtt kak cipaa orang humble orang teman
228,Artis remaja di Indonesia yg manis bgt kalo senyum Cuma dia deh perasaan yg nempel di hati,no,artis remaja indonesia manis banget senyum deh asa nempel hati
229,"Aku doakan perempuan baik yg bernama Nagita selalu sehat, bahagia lahir batin, dan banyak yang sayang sm dia..",no,doa perempuan nama nagita sehat bahagia lahir batin sayang
230,"Rafathar nya mantull ni, pulang nggk jd nginep karna nggk ada temen mamany d rmh papany belum pulangg.. jd jagain dan temenin mama dulu  ya aa",no,rafathar nya mantull ni pulang inap teman mamah rumah papany pulangg jagain teman mama ya aa
231,"kultur kerja kaya gini menurut gw bagus si ga kapitalis banget, petingginya juga ikut kerja misal ngevlog atau endors, semoga gaji juga ga senjang si haha",no,kultur kerja kaya bagus si kapitalis petinggi kerja ngevlog endors moga gaji senjang si haha
232,Pantas pada senang kerja di Rans.. mbak gigi nggak ngebossy..,no,senang kerja rans mbak gigi ngebossy
233,Seneng yaa lihat orang sukses meeting. Ya Allah pengen sukses kayak gitu biar ada status di instastory,no,senang yaa lihat orang sukses meeting ya allah sukses biar status instastory
234,smga semua kelg dan crew sehat semua.. dan rejeki trs lancar ya kak gigi..,no,moga kelg crew sehat rejeki lancar ya kak gigi
235,Fokus ke nagita pas mau minum masih sempet baca doa. keren bgt hasil dari didikan orang tua nya,no,fokus nagita pas minum sempet baca doa keren banget hasil dik orang tua nya
236,Koreaable banget face rafathar cakep ganteng manis banget,no,koreaable muka rafathar cakap ganteng manis
237,MasyaAllah Rafathar tambah besar makin tambah ganteng bgt gk kuat ngeliat alisny…,no,masyaallah rafathar ganteng banget kuat alisny
238,"Kok mirip siwon ya lama2, apa perasaan gw aja.",no,siwon ya asa
239,Lucunya berasa kayak kaka dan adek,no,lucu asa kaka adik
240,Itu wajah nagita kya masih umur 20an,no,wajah nagita umur an
241,"Foto no edit edit ya saayy kamera nyaa bening,,, model fotonya pun juga bening gak perlu pakai filter tipu tipu",no,foto nomor edit edit ya saayy kamera nyaa bening model foto bening pakai filter tipu tipu
242,"Look-nya Rafathar emang gak bisa dipungkiri, diborong gen mama gigi semua HAHA.",no,looknya rafathar dipungkiri borong gen mama gigi haha
243,Nagita masa kaya anak muda coba cantikk bangeett,no,nagita kaya anak muda coba cantikk bangeett
244,"Masyaallah mamany cantik anakny ganteng, perfect",no,masyaallah mamah cantik anak ganteng perfect
245,Kaya adek kakak.. kak gigi keliatan muda banget,no,kaya adik kakak kak gigi muda
246,Tambah gede aja rafathar ya tambah pinter ya Rafathar,no,rafathar ya pintar ya rafathar
247,Mama gigi kalau rambutnya agak pirang tambah cantik dan tampak lebih muda,no,mama gigi rambut pirang cantik muda
248,"OOTD mama gigi simple tapi elegan dilihat nya, masyaallah",no,ootd mama gigi simpel elegan nya masyaallah
249,"Masyaallah mamah gigi bening bet dah, sehat selalu mamah gigi dn keluarga",no,masyaallah mamah gigi bening banget sehat mamah gigi keluarga
